date,venue_code,opp_code,hour,day_code,team,gf_rolling,ga_rolling,sh_rolling,sot_rolling,dist_rolling,fk_rolling,pk_rolling,pkatt_rolling,opp_gf_rolling,opp_ga_rolling,opp_sh_rolling,opp_sot_rolling,opp_dist_rolling,opp_fk_rolling,opp_pk_rolling,opp_pkatt_rolling,target
2018-09-27,1,11,20,3,0,1.6,1.0,9.6,4.0,19.02,0.2,0.0,0.0,1.4,1.6,11.0,4.6,18.880000000000003,0.6,0.0,0.0,1
2018-10-06,1,21,18,5,0,2.0,1.0,11.2,3.8,19.6,0.4,0.0,0.2,1.2,1.0,17.4,5.4,18.9,1.0,0.2,0.2,2
2018-10-19,0,6,21,4,0,1.8,0.8,11.2,3.6,21.32,0.4,0.0,0.2,1.6,2.0,12.2,4.4,18.5,0.8,0.0,0.0,2
2018-10-28,1,26,18,6,0,1.8,0.8,11.0,3.2,21.439999999999998,0.8,0.0,0.2,1.0,1.0,17.2,4.8,18.380000000000003,0.2,0.0,0.2,2
2018-12-02,1,23,20,6,0,1.2,1.0,11.4,3.6,19.919999999999998,0.6,0.0,0.0,1.4,1.2,16.2,6.0,16.3,0.2,0.0,0.0,1
2018-12-08,0,3,13,5,0,1.2,1.2,11.6,3.8,18.839999999999996,0.2,0.0,0.0,1.6,1.0,10.4,3.0,18.28,0.8,0.0,0.0,0
2018-12-17,1,2,21,0,0,0.8,1.6,10.4,3.2,19.559999999999995,0.4,0.0,0.0,0.8,1.6,11.8,4.6,17.119999999999997,0.0,0.2,0.2,1
2018-12-21,0,22,21,4,0,0.6,1.2,10.8,3.0,18.279999999999998,0.4,0.0,0.0,1.2,1.2,13.6,4.8,15.920000000000002,0.2,0.0,0.0,2
2019-01-05,1,24,16,5,0,0.4,1.0,10.0,2.6,19.06,0.4,0.0,0.0,1.4,1.0,13.2,6.0,16.160000000000004,0.8,0.0,0.0,2
2019-02-03,0,21,20,6,0,0.8,1.4,12.2,2.4,17.880000000000003,0.0,0.0,0.0,2.0,1.4,19.0,7.0,18.22,0.6,0.0,0.0,0
2019-02-23,1,6,18,5,0,0.6,1.8,10.4,1.8,16.16,0.4,0.0,0.0,1.0,2.2,11.4,4.0,20.14,0.6,0.2,0.2,1
2019-03-02,0,26,16,5,0,0.6,1.0,12.4,2.6,15.959999999999999,0.8,0.0,0.0,1.0,1.4,12.0,4.2,16.06,0.2,0.2,0.2,2
