date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,opp formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
2024-08-18,21:30,La Liga,Matchweek 1,Sun,Away,D,1.0,1.0,Mallorca,0.6,1.0,66.0,23010.0,Dani Carvajal,4-3-3,4-3-3,,Match Report,,13.0,5.0,21.3,0.0,0,0,2025,Real Madrid
2024-08-25,17:00,La Liga,Matchweek 2,Sun,Home,W,3.0,0.0,Valladolid,2.1,0.4,63.0,70178.0,Dani Carvajal,4-2-3-1,4-1-4-1,,Match Report,,17.0,9.0,17.2,1.0,0,0,2025,Real Madrid
2024-08-29,20:30,La Liga,Matchweek 3,Thu,Away,D,1.0,1.0,Las Palmas,2.5,0.8,57.0,31192.0,Luka Modrić,4-2-3-1,4-1-4-1,Mateo Busquets,Match Report,,24.0,7.0,18.0,1.0,1,1,2025,Real Madrid
2024-09-01,21:30,La Liga,Matchweek 4,Sun,Home,W,2.0,0.0,Betis,2.4,0.6,60.0,73072.0,Dani Carvajal,4-3-3,4-2-3-1,Javier Alberola,Match Report,,21.0,6.0,16.3,0.0,1,1,2025,Real Madrid
2024-09-14,21:00,La Liga,Matchweek 5,Sat,Away,W,2.0,0.0,Real Sociedad,2.3,1.1,52.0,37370.0,Luka Modrić,4-2-3-1,4-5-1,Juan Martínez,Match Report,,14.0,4.0,19.4,1.0,2,2,2025,Real Madrid
2024-09-21,21:00,La Liga,Matchweek 6,Sat,Home,W,4.0,1.0,Espanyol,4.4,0.3,73.0,17284.0,Luka Modrić,4-3-3,5-3-2,José Luis Munuera,Match Report,,30.0,13.0,17.4,0.0,1,1,2025,Real Madrid
2024-09-24,21:00,La Liga,Matchweek 7,Tue,Home,W,3.0,2.0,Alavés,1.3,0.9,68.0,67480.0,Lucas Vázquez,4-3-3,4-4-2,Alejandro Muñíz,Match Report,,10.0,4.0,14.7,1.0,0,0,2025,Real Madrid
2024-09-29,21:00,La Liga,Matchweek 8,Sun,Away,D,1.0,1.0,Atlético Madrid,0.8,1.3,49.0,70112.0,Luka Modrić,4-4-2,4-4-2,Mateo Busquets,Match Report,,12.0,4.0,20.4,0.0,0,0,2025,Real Madrid
2024-10-05,21:00,La Liga,Matchweek 9,Sat,Home,W,2.0,0.0,Villarreal,0.5,1.1,55.0,73842.0,Luka Modrić,4-4-2,4-3-3,Guillermo Cuadra,Match Report,,11.0,2.0,22.0,0.0,0,0,2025,Real Madrid
2024-10-19,21:00,La Liga,Matchweek 10,Sat,Away,W,2.0,1.0,Celta Vigo,0.7,1.8,53.0,24445.0,Lucas Vázquez,3-4-3,3-4-3,Alejandro Hernández,Match Report,,10.0,3.0,18.6,0.0,0,0,2025,Real Madrid
2024-10-26,21:00,La Liga,Matchweek 11,Sat,Home,L,0.0,4.0,Barcelona,1.5,2.6,43.0,78192.0,Lucas Vázquez,4-4-2,4-2-3-1,Jose Maria Sánchez,Match Report,,9.0,4.0,23.7,0.0,0,0,2025,Real Madrid
2024-11-09,14:00,La Liga,Matchweek 13,Sat,Home,W,4.0,0.0,Osasuna,3.1,0.1,68.0,72462.0,Lucas Vázquez,4-3-3,4-3-3,Mario Melero,Match Report,,18.0,8.0,15.2,1.0,0,0,2025,Real Madrid
2024-11-24,18:30,La Liga,Matchweek 14,Sun,Away,W,3.0,0.0,Leganés,1.8,0.1,67.0,12338.0,Federico Valverde,4-4-2,3-4-3,Javier Alberola,Match Report,,16.0,8.0,15.6,1.0,0,0,2025,Real Madrid
2024-12-01,16:15,La Liga,Matchweek 15,Sun,Home,W,2.0,0.0,Getafe,3.2,0.5,69.0,74341.0,Lucas Vázquez,4-3-3,4-4-2,Alejandro Hernández,Match Report,,12.0,3.0,17.6,0.0,1,1,2025,Real Madrid
2024-12-04,21:00,La Liga,Matchweek 19,Wed,Away,L,1.0,2.0,Athletic Club,1.7,1.8,63.0,51364.0,Lucas Vázquez,4-4-2,4-2-3-1,Jose Maria Sánchez,Match Report,,9.0,4.0,17.5,0.0,0,1,2025,Real Madrid
2024-12-07,21:00,La Liga,Matchweek 16,Sat,Away,W,3.0,0.0,Girona,0.9,0.4,58.0,13827.0,Luka Modrić,4-2-3-1,4-2-3-1,Jesús Gil,Match Report,,10.0,7.0,19.3,0.0,0,0,2025,Real Madrid
